Career Goal,Current Skills,Recommended Skills,Recommended Projects
Web Developer,"HTML, CSS, JavaScript","React, Node.js, MongoDB","Portfolio Website, Todo List App"
Data Scientist,"Python, Statistics","Pandas, Scikit-learn, TensorFlow","Titanic Survival Prediction, Image Classifier"
App Developer,"Java, Android Basics","Firebase, Kotlin, Material Design","Notes App, Weather App"
Cybersecurity Analyst,"Networking, Linux","Ethical Hacking, Wireshark, Metasploit","Vulnerability Assessment, Port Scanner"
Machine Learning Engineer,"Python, Linear Algebra","Sklearn, Deep Learning, TensorFlow","Spam Classifier, Image Recognition System"
DevOps Engineer,"Linux, Shell Scripting","Docker, Kubernetes, Jenkins","CI/CD Pipeline, Dockerized App"
UI/UX Designer,"Sketching, Basic Design","Figma, Adobe XD, UX Research","App Redesign, User Flow Mapping"
AI Researcher,"Math, Python","Neural Networks, Pytorch, NLP","Chatbot, GANs for Image Generation"
Game Developer,"C++, Game Theory","Unity, Unreal Engine, C#","2D Platformer, Multiplayer Game"
Blockchain Developer,"JavaScript, Web3","Solidity, Ethereum, Smart Contracts","Crypto Wallet, NFT Marketplace"
Cloud Engineer,"Networking, Python","AWS, Azure, Terraform","Cloud Infra Setup, Lambda Automation"
AR/VR Developer,"Unity, C#","ARKit, ARCore, 3D Modeling","AR Navigation App, VR Game"
Robotics Engineer,"C++, Microcontrollers","ROS, Embedded C, Simulation","Line Follower Robot, Robotic Arm"
Business Analyst,"Excel, Communication","SQL, Power BI, Tableau","Sales Dashboard, KPI Tracker"
Full Stack Developer,"HTML, JS","Express.js, MongoDB, React","E-commerce Site, Chat App"
Computer Vision Engineer,"Python, OpenCV Basics","YOLO, CNNs, Deep Learning","Face Detection, Object Tracking"
Database Administrator,"SQL, DBMS","MySQL, MongoDB, Backup Tools","Database Backup System, ERD Tool"
Technical Writer,"English, Writing","Markdown, API Docs, Git","Project Documentation, Dev Blogs"
Ethical Hacker,"Linux, Network Protocols","Nmap, Burp Suite, Kali Linux","Website Vulnerability Report, Phishing Detector"
Automation Tester,Manual Testing,"Selenium, JUnit, TestNG","Login Test Suite, Automated Form Testing"
